URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/care-team-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.154",CareTeamStatus,CareTeamStatus,"Indicates the status of the care team.","ValueSet/care-team-status"
http://hl7.org/fhir/publication-status,4.0.1,active,"2.16.840.1.113883.4.642.4.4",PublicationStatus,PublicationStatus,"The lifecycle status of an artifact.","ValueSet/publication-status"
http://loinc.org,3.1.0,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/GoalDescriptionVS-TWLTC"
http://ltc-ig.fhir.tw/CodeSystem/AddressUseCS-TWLTC,0.1.1,active,,AddressUseCSTWLTC,地址用途擴展識別碼,"地址用途的擴展識別碼，新增戶籍地與現居地等代碼","ValueSet/AddressUseVS-TWLTC"
http://ltc-ig.fhir.tw/CodeSystem/ConditionDisabilityCS-TWLTC,0.1.1,active,,ConditionDisabilityCSTWLTC,個案身心障礙手冊持有狀態代碼,"用於表述個案的身心障礙手冊持有狀態代碼。","ValueSet/ConditionDisabilityVS-TWLTC"
http://ltc-ig.fhir.tw/CodeSystem/ConditionDisabilityLegacyTypeCS-TWLTC,0.1.1,active,,ConditionDisabilityLegacyTypeCSTWLTC,個案身心障礙類型代碼（舊制）,"用於表述個案的身心障礙類型代碼（舊制）。","ValueSet/ConditionDisabilityTypeVS-TWLTC"
http://ltc-ig.fhir.tw/CodeSystem/ConditionDisabilityTypeCS-TWLTC,0.1.1,active,,ConditionDisabilityTypeCSTWLTC,個案身心障礙類型代碼（新制）,"用於表述個案的身心障礙類型代碼（新制）。","ValueSet/ConditionDisabilityTypeVS-TWLTC"
http://ltc-ig.fhir.tw/CodeSystem/EconomyStatusCS-TWLTC,0.1.1,active,,EconomyStatusCSTWLTC,經濟狀況代碼,"用於表述個案的經濟狀況，在長照機構住民經濟狀況 Extension 中使用。 此代碼比照警政署偵查筆錄制式格式之選項進行設計。","ValueSet/EconomyStatusVS-TWLTC"
http://ltc-ig.fhir.tw/CodeSystem/EducationStatusCS-TWLTC,0.1.1,active,,EducationStatusCSTWLTC,教育程度代碼,"用於表述個案的教育程度，在長照機構住民教育程度 Extension 中使用。","ValueSet/EducationStatusVS-TWLTC"
http://ltc-ig.fhir.tw/CodeSystem/PatientIdentityCS-TWLTC,0.1.1,active,,PatientIdentityCSTWLTC,個案身分別代碼,"個案身分別代碼","ValueSet/PatientIdentityVS-TWLTC"
http://ltc-ig.fhir.tw/CodeSystem/ReferralCarePlanCS-TWLTC,0.1.1,active,,ReferralCarePlanCSTWLTC,轉介單申請服務種類代碼,"用於表述個案欲申請的服務項目。","ValueSet/ReferralCarePlanVS-TWLTC"
http://ltc-ig.fhir.tw/CodeSystem/ReferralConditionCaregiverCS-TWLTC,0.1.1,active,,ReferralConditionCaregiverCSTWLTC,轉介單看護狀況代碼,"用於表述個案雇用看護的狀況。","ValueSet/ReferralConditionCaregiverVS-TWLTC"
http://ltc-ig.fhir.tw/CodeSystem/ReferralConditionCrushCS-TWLTC,0.1.1,active,,ReferralConditionCrushCSTWLTC,轉介單壓傷狀況代碼,"用於表述個案的壓傷狀況。","ValueSet/ReferralConditionCrushVS-TWLTC"
http://ltc-ig.fhir.tw/CodeSystem/ReferralConditionResidenceCS-TWLTC,0.1.1,active,,ReferralConditionResidenceCSTWLTC,轉介單居住狀況代碼,"用於表述個案的居住狀況","ValueSet/ReferralConditionResidenceVS-TWLTC"
